City,Start_Hour,HVAC_Energy
Shanghai,1,21.41882400495192
Shanghai,2,21.443656451322596
Shanghai,3,21.465532389442465
Shanghai,4,21.48653562361387
Shanghai,5,21.50699186857163
Shanghai,6,21.52650126704993
Shanghai,7,21.54378907594768
Shanghai,8,21.555409507272806
Shanghai,9,21.554579958601686
Shanghai,10,21.534571443541473
Shanghai,11,21.494582720033993
Shanghai,12,21.441944002440614
Shanghai,13,21.38291267316059
Shanghai,14,21.324646786932792
Shanghai,15,21.27522262970884
Shanghai,16,21.236813156957776
Shanghai,17,21.21282805454563
Shanghai,18,21.208282889766362
Shanghai,19,21.22161749517585
Shanghai,20,21.248029555023212
Shanghai,21,21.281530207538736
Shanghai,22,21.318613606254793
Shanghai,23,21.35531744762461
Harbin,1,20.125842757984596
Harbin,2,20.198652558455787
Harbin,3,20.259644998328632
Harbin,4,20.315489912665385
Harbin,5,20.365037289424176
Harbin,6,20.40911752039181
Harbin,7,20.44668650288499
Harbin,8,20.472082970567474
Harbin,9,20.471940700978447
Harbin,10,20.432158597241546
Harbin,11,20.349350173449974
Harbin,12,20.23257457156385
Harbin,13,20.094171298454835
Harbin,14,19.94740720571852
Harbin,15,19.80630352117633
Harbin,16,19.685314150477794
Harbin,17,19.598993755658316
Harbin,18,19.563132762972664
Harbin,19,19.580872982974547
Harbin,20,19.6418556069971
Harbin,21,19.729176904121008
Harbin,22,19.83106809120964
Harbin,23,19.936280206869075
Haikou,1,24.325774526847756
Haikou,2,24.31690394660885
Haikou,3,24.314263830752438
Haikou,4,24.314652404345058
Haikou,5,24.316522782125656
Haikou,6,24.32026379921358
Haikou,7,24.32389394309121
Haikou,8,24.32666506393877
Haikou,9,24.33212372611597
Haikou,10,24.34388424007622
Haikou,11,24.36148611381659
Haikou,12,24.38366753542541
Haikou,13,24.408889201447764
Haikou,14,24.43728007617654
Haikou,15,24.46527702066003
Haikou,16,24.48389091621673
Haikou,17,24.487326995935216
Haikou,18,24.47920482862201
Haikou,19,24.4609825868529
Haikou,20,24.43796724428672
Haikou,21,24.412098603512543
Haikou,22,24.3864472542864
Haikou,23,24.363370888305028
Lasa,1,19.425558891322964
Lasa,2,19.497174816996665
Lasa,3,19.557047366400365
Lasa,4,19.609972192679376
Lasa,5,19.657970422602713
Lasa,6,19.702026017940966
Lasa,7,19.73928596542417
Lasa,8,19.759113728777752
Lasa,9,19.736125785955284
Lasa,10,19.65497997764027
Lasa,11,19.526701069102188
Lasa,12,19.365587185791096
Lasa,13,19.191951792225506
Lasa,14,19.02400898087415
Lasa,15,18.88217203159781
Lasa,16,18.78314688374134
Lasa,17,18.7409562564103
Lasa,18,18.75339885902978
Lasa,19,18.811983712989576
Lasa,20,18.902909501881485
Lasa,21,19.00829179701956
Lasa,22,19.120615805066915
Lasa,23,19.23298076484359
Urumqi,1,20.51187129359482
Urumqi,2,20.546001877520656
Urumqi,3,20.573737514798477
Urumqi,4,20.60042331227951
Urumqi,5,20.62621411424573
Urumqi,6,20.647642572207467
Urumqi,7,20.662811528984953
Urumqi,8,20.66459862899568
Urumqi,9,20.636211088013194
Urumqi,10,20.574481614311885
Urumqi,11,20.487386364302996
Urumqi,12,20.388063382795714
Urumqi,13,20.28875319579307
Urumqi,14,20.198810386898565
Urumqi,15,20.120422527271664
Urumqi,16,20.070882814233798
Urumqi,17,20.06358004951207
Urumqi,18,20.09425763703538
Urumqi,19,20.149928853924507
Urumqi,20,20.218673691342676
Urumqi,21,20.289062086708906
Urumqi,22,20.356047086342468
Urumqi,23,20.416458074593972
