hour,temperature_2m,ghi
0,20.0,0.0
1,20.007172585352098,0.0
2,20.01434516701419,0.0
3,20.021517741296268,0.0
4,20.028690304508334,0.0
5,20.035862852960385,0.0
6,20.04303538296244,0.0
7,20.05020789082452,258.81904510252076
8,20.057380372856652,499.99999999999994
9,20.064552825368885,707.1067811865476
10,20.071725244671278,866.0254037844386
11,20.078897627073914,965.9258262890684
12,20.086069968886886,1000.0
13,20.09324226642031,965.9258262890684
14,20.10041451598433,866.0254037844387
15,20.107586713889113,707.1067811865476
16,20.114758856444848,499.99999999999994
17,20.121930939961757,258.81904510252105
18,20.12910296075009,1.2246467991473532e-13
19,20.13627491512013,0.0
20,20.143446799382197,0.0
21,20.15061860984664,0.0
22,20.157790342823848,0.0
23,20.16496199462426,0.0
24,20.172133561558347,0.0
25,20.179305039936622,0.0
26,20.18647642606965,0.0
27,20.19364771626804,0.0
28,20.200818906842446,0.0
29,20.20798999410359,0.0
30,20.21516097436222,0.0
31,20.22233184392917,258.81904510252076
32,20.229502599115303,499.99999999999994
33,20.23667323623156,707.1067811865476
34,20.243843751588933,866.0254037844386
35,20.251014141498484,965.9258262890684
36,20.25818440227133,1000.0
37,20.26535453021866,965.9258262890684
38,20.272524521651732,866.0254037844387
39,20.279694372881874,707.1067811865476
40,20.286864080220486,499.99999999999994
41,20.294033639979038,258.81904510252105
42,20.301203048469084,1.2246467991473532e-13
43,20.308372302002244,0.0
44,20.315541396890232,0.0
45,20.32271032944483,0.0
46,20.329879095977915,0.0
47,20.337047692801445,0.0
48,20.344216116227457,0.0
49,20.351384362568094,0.0
50,20.358552428135575,0.0
51,20.365720309242217,0.0
52,20.372888002200437,0.0
53,20.380055503322744,0.0
54,20.387222808921745,0.0
55,20.39438991531015,258.81904510252076
56,20.401556818800767,499.99999999999994
57,20.408723515706516,707.1067811865476
58,20.415890002340415,866.0254037844386
59,20.4230562750156,965.9258262890684
60,20.430222330045304,1000.0
61,20.437388163742884,965.9258262890684
62,20.444553772421806,866.0254037844387
63,20.45171915239565,707.1067811865476
64,20.45888429997812,499.99999999999994
65,20.46604921148303,258.81904510252105
66,20.473213883224318,1.2246467991473532e-13
67,20.480378311516056,0.0
68,20.48754249267243,0.0
69,20.49470642300775,0.0
70,20.50187009883647,0.0
71,20.509033516473163,0.0
72,20.51619667223254,0.0
73,20.523359562429437,0.0
74,20.530522183378846,0.0
75,20.53768453139588,0.0
76,20.544846602795793,0.0
77,20.552008393893995,0.0
78,20.559169901006033,0.0
79,20.56633112044759,258.81904510252076
80,20.573492048534515,499.99999999999994
81,20.58065268158279,707.1067811865476
82,20.587813015908562,866.0254037844386
83,20.594973047828127,965.9258262890684
84,20.60213277365793,1000.0
85,20.609292189714584,965.9258262890684
86,20.616451292314856,866.0254037844387
87,20.623610077775677,707.1067811865476
88,20.630768542414135,499.99999999999994
89,20.637926682547487,258.81904510252105
90,20.64508449449316,1.2246467991473532e-13
91,20.65224197456875,0.0
92,20.659399119092015,0.0
93,20.666555924380894,0.0
94,20.673712386753493,0.0
95,20.68086850252811,0.0
96,20.6880242680232,0.0
97,20.695179679557413,0.0
98,20.702334733449575,0.0
99,20.709489426018703,0.0
100,20.716643753583988,0.0
101,20.723797712464822,0.0
102,20.730951298980777,0.0
103,20.738104509451617,258.81904510252076
104,20.745257340197305,499.99999999999994
105,20.752409787538,707.1067811865476
106,20.75956184779405,866.0254037844386
107,20.76671351728601,965.9258262890684
108,20.77386479233463,1000.0
109,20.781015669260867,965.9258262890684
110,20.788166144385887,866.0254037844387
111,20.795316214031047,707.1067811865476
112,20.80246587451793,499.99999999999994
113,20.809615122168324,258.81904510252105
114,20.816763953304225,1.2246467991473532e-13
115,20.823912364247846,0.0
116,20.831060351321618,0.0
117,20.838207910848187,0.0
118,20.84535503915042,0.0
119,20.85250173255141,0.0
120,20.859647987374466,0.0
121,20.866793799943125,0.0
122,20.87393916658116,0.0
123,20.881084083612564,0.0
124,20.888228547361557,0.0
125,20.89537255415261,0.0
126,20.90251610031041,0.0
127,20.909659182159892,258.81904510252076
128,20.91680179602623,499.99999999999994
129,20.92394393823483,707.1067811865476
130,20.931085605111353,866.0254037844386
131,20.93822679298169,965.9258262890684
132,20.945367498171994,1000.0
133,20.952507717008654,965.9258262890684
134,20.959647445818312,866.0254037844387
135,20.96678668092787,707.1067811865476
136,20.97392541866448,499.99999999999994
137,20.981063655355538,258.81904510252105
138,20.988201387328715,1.2246467991473532e-13
139,20.995338610911933,0.0
140,21.002475322433373,0.0
141,21.009611518221487,0.0
142,21.01674719460499,0.0
143,21.02388234791286,0.0
144,21.031016974474348,0.0
145,21.038151070618976,0.0
146,21.045284632676534,0.0
147,21.052417656977095,0.0
148,21.059550139851,0.0
149,21.06668207762888,0.0
150,21.07381346664163,0.0
151,21.08094430322044,258.81904510252076
152,21.088074583696788,499.99999999999994
153,21.09520430440242,707.1067811865476
154,21.102333461669385,866.0254037844386
155,21.10946205183002,965.9258262890684
156,21.116590071216944,1000.0
157,21.123717516163087,965.9258262890684
158,21.13084438300166,866.0254037844387
159,21.137970668066174,707.1067811865476
160,21.145096367690442,499.99999999999994
161,21.15222147820858,258.81904510252105
162,21.159345995955004,1.2246467991473532e-13
163,21.166469917264436,0.0
164,21.173593238471902,0.0
165,21.18071595591274,0.0
166,21.187838065922598,0.0
167,21.194959564837436,0.0
168,21.202080448993527,0.0
169,21.209200714727466,0.0
170,21.21632035837616,0.0
171,21.223439376276833,0.0
172,21.230557764767042,0.0
173,21.237675520184663,0.0
174,21.244792638867892,0.0
175,21.251909117155257,258.81904510252076
176,21.25902495138562,499.99999999999994
177,21.266140137898166,707.1067811865476
178,21.27325467303242,866.0254037844386
179,21.280368553128234,965.9258262890684
180,21.28748177452581,1000.0
181,21.29459433356567,965.9258262890684
182,21.3017062265887,866.0254037844387
183,21.308817449936107,707.1067811865476
184,21.315927999949455,499.99999999999994
185,21.323037872970655,258.81904510252105
186,21.330147065341958,1.2246467991473532e-13
187,21.337255573405972,0.0
188,21.344363393505656,0.0
189,21.351470521984318,0.0
190,21.358576955185626,0.0
191,21.365682689453607,0.0
192,21.37278772113265,0.0
193,21.37989204656749,0.0
194,21.38699566210325,0.0
195,21.394098564085397,0.0
196,21.40120074885977,0.0
197,21.40830221277259,0.0
198,21.41540295217043,0.0
199,21.42250296340025,258.81904510252076
200,21.429602242809377,499.99999999999994
201,21.436700786745515,707.1067811865476
202,21.44379859155675,866.0254037844386
203,21.450895653591544,965.9258262890684
204,21.457991969198748,1000.0
205,21.465087534727587,965.9258262890684
206,21.47218234652768,866.0254037844387
207,21.479276400949033,707.1067811865476
208,21.486369694342034,499.99999999999994
209,21.493462223057474,258.81904510252105
210,21.500553983446526,1.2246467991473532e-13
211,21.50764497186077,0.0
212,21.514735184652174,0.0
213,21.521824618173106,0.0
214,21.52891326877634,0.0
215,21.53600113281505,0.0
216,21.54308820664281,0.0
217,21.55017448661361,0.0
218,21.55725996908184,0.0
219,21.564344650402308,0.0
220,21.571428526930227,0.0
221,21.578511595021222,0.0
222,21.585593851031344,0.0
223,21.592675291317057,258.81904510252076
224,21.599755912235242,499.99999999999994
225,21.606835710143205,707.1067811865476
226,21.613914681398676,866.0254037844386
227,21.620992822359803,965.9258262890684
228,21.62807012938517,1000.0
229,21.63514659883378,965.9258262890684
230,21.642222227065087,866.0254037844387
231,21.649297010438953,707.1067811865476
232,21.65637094531569,499.99999999999994
233,21.66344402805604,258.81904510252105
